conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
7.72,-8.5,3.42,-145.66,0.19,14.61,7.63,-1.14,-2.82,-1.93,-5.7,-32.46,4.81,-3.06,97.84,16.13,151.51,2.67,False
-3.7,-122.04,3.14,170.95,0.14,0.32,-1.96,-3.13,-3.1,0.49,5.72,-152.33,-5.06,-2.66,0.09,29.59,42.54,0.48,False
-3.7,-122.04,3.14,170.95,0.14,0.32,-1.96,-3.13,-3.1,0.49,5.72,-152.33,-5.06,-2.66,0.09,29.59,42.54,0.48,False
14.08,-8.79,4.99,-135.69,0.19,17.81,13.92,-2.15,-3.57,-3.48,-11.77,-28.55,10.34,-5.63,82.93,24.39,149.22,2.28,False
8.64,50.98,-6.76,-68.71,0.19,2.02,5.44,6.71,2.45,-6.3,-7.93,2.94,7.92,0.41,68.24,5.15,139.49,2.72,False
9.1,36.83,-5.29,-84.46,0.19,2.41,7.28,5.46,0.51,-5.27,-7.82,1.56,7.82,0.21,48.02,0.87,122.08,2.52,False
2.94,59.72,-3.65,-75.32,0.19,1.25,1.48,2.54,0.93,-3.53,-2.62,-22.07,2.43,-0.98,51.22,0.0,109.98,2.59,False
14.21,30.26,2.64,-122.66,0.19,2.53,12.27,7.16,-1.42,-2.22,-11.92,24.43,10.85,4.93,36.36,9.13,102.62,2.15,False
8.93,-0.33,2.36,-138.28,0.19,20.75,8.93,-0.05,-1.76,-1.57,-7.34,-12.69,7.16,-1.61,38.09,-0.03,93.73,1.81,False
8.38,53.16,-4.29,-74.49,0.19,1.05,5.02,6.71,1.15,-4.13,-6.68,22.85,6.15,2.59,47.32,0.08,116.97,2.57,False
6.7,-40.95,2.18,149.85,0.19,3.19,5.06,-4.39,-1.89,1.1,-4.57,-45.86,3.18,-3.28,12.26,36.34,61.83,1.48,False
2.86,11.25,-3.51,-77.82,0.2,4.34,2.81,0.56,0.74,-3.43,-4.57,-39.07,3.54,-2.88,89.49,17.83,152.47,2.69,False
8.57,18.32,6.72,-102.81,0.07,0.04,8.13,2.69,-1.49,-6.56,-7.71,-30.23,6.66,-3.88,64.84,5.47,137.43,2.69,False
13.39,20.11,2.49,-121.5,0.19,16.53,12.57,4.6,-1.3,-2.13,-11.55,12.45,11.27,2.49,91.56,21.57,154.03,2.7,False
16.3,47.61,5.97,-107.41,0.19,18.37,10.99,12.04,-1.79,-5.7,-11.19,34.45,9.23,6.33,87.12,21.35,153.49,2.69,False
13.37,19.28,2.48,-120.99,0.19,16.49,12.62,4.41,-1.28,-2.12,-11.59,11.47,11.36,2.3,77.18,23.36,148.44,2.67,False
9.93,27.1,5.24,-108.43,0.2,3.75,8.84,4.53,-1.66,-4.97,-7.22,-3.76,7.2,-0.47,84.33,11.37,149.91,2.67,False
4.7,14.81,1.93,-134.61,0.19,0.1,4.54,1.2,-1.35,-1.37,-3.2,-3.28,3.2,-0.18,35.24,77.01,97.77,2.0,False
9.32,-16.76,2.44,117.38,0.19,11.04,8.93,-2.69,-1.12,2.17,-7.83,-4.08,7.81,-0.56,89.01,16.94,152.19,2.78,False
6.51,14.73,-3.17,-63.55,0.19,11.07,6.3,1.66,1.41,-2.84,-7.8,-9.0,7.7,-1.22,94.23,19.87,154.51,2.73,False
2.85,62.86,-3.68,-73.99,0.19,0.1,1.3,2.54,1.01,-3.53,-2.53,-22.86,2.33,-0.98,74.2,0.43,146.03,0.79,False
1.63,48.13,6.01,-113.46,0.2,13.09,1.09,1.21,-2.39,-5.51,4.49,-107.37,-1.34,-4.28,48.29,5.32,117.62,2.42,False
15.86,-7.87,5.47,-168.91,0.19,16.82,15.71,-2.17,-5.37,-1.05,-10.84,-17.52,10.34,-3.26,88.92,30.45,152.23,2.7,False
10.78,-9.4,2.61,-134.52,0.19,16.07,10.64,-1.76,-1.83,-1.86,-9.54,-22.27,8.82,-3.61,95.82,16.84,155.22,2.71,False
7.62,-0.92,3.61,-100.68,0.19,13.12,7.62,-0.12,-0.67,-3.55,-7.86,-28.08,6.94,-3.7,95.5,17.21,155.02,2.77,False
6.93,-28.83,2.55,-156.89,0.19,14.98,6.07,-3.34,-2.35,-1.0,-5.73,-49.24,3.74,-4.34,95.94,15.79,155.27,2.71,False
-9.42,-91.39,1.26,-167.28,0.15,0.07,-0.23,-9.41,-1.23,-0.28,9.81,-98.62,-1.47,-9.69,12.05,24.68,61.53,1.79,False
8.49,36.9,9.06,169.33,0.2,6.52,6.79,5.1,-8.9,1.68,7.09,107.39,-2.12,6.76,70.25,10.93,140.67,2.67,False
10.26,-27.47,1.26,169.87,0.19,13.78,9.1,-4.73,-1.24,0.22,-9.06,-29.95,7.85,-4.52,95.75,19.65,155.15,2.71,False
9.79,-18.87,1.9,149.19,0.19,7.72,9.26,-3.17,-1.63,0.97,-7.94,-16.33,7.62,-2.23,95.0,13.24,154.62,2.83,False
14.09,15.52,4.99,-112.08,0.19,18.56,13.57,3.77,-1.88,-4.63,-11.72,-4.15,11.69,-0.85,82.01,24.12,148.72,2.19,False
8.48,36.62,9.07,169.35,0.2,7.3,6.81,5.06,-8.92,1.68,7.05,107.49,-2.12,6.72,60.04,10.06,131.42,2.54,False
10.15,7.6,1.89,-119.1,0.19,12.41,10.06,1.34,-0.92,-1.66,-9.14,-1.98,9.14,-0.32,112.3,13.92,149.24,2.75,False
5.97,25.64,4.11,-110.68,0.2,3.14,5.38,2.58,-1.45,-3.85,-4.14,-17.7,3.94,-1.26,36.82,0.0,101.42,2.53,False
4.49,-89.47,2.42,176.44,0.17,0.09,0.04,-4.49,-2.42,0.15,4.96,-118.67,-2.38,-4.35,13.51,100.65,63.77,1.56,False
10.07,29.87,1.89,-96.47,0.19,10.51,8.73,5.02,-0.21,-1.87,-9.08,20.23,8.52,3.14,104.09,13.94,151.91,2.78,False
2.43,26.85,-4.44,-65.16,0.2,6.31,2.17,1.1,1.86,-4.03,-4.98,-36.07,4.03,-2.93,93.77,15.85,154.36,2.7,False
7.28,40.32,4.42,-100.25,0.2,11.15,5.55,4.71,-0.79,-4.35,-4.79,4.49,4.78,0.37,83.23,26.56,149.99,1.87,False
