conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
13.52,18.66,2.91,-134.61,0.2,20.68,12.81,4.33,-2.04,-2.07,-11.0,11.8,10.77,2.25,86.92,13.72,151.27,2.33,False
15.14,41.93,4.31,-142.11,0.19,16.53,11.26,10.12,-3.41,-2.65,-10.84,43.49,7.86,7.46,25.61,13.14,83.44,2.18,False
11.48,41.42,4.27,-138.89,0.19,15.32,8.61,7.6,-3.22,-2.81,-7.21,41.52,5.4,4.78,22.8,0.01,78.82,2.13,False
5.14,59.89,2.47,-99.75,0.19,18.4,2.58,4.44,-0.42,-2.43,-2.96,42.83,2.17,2.01,58.7,33.36,129.1,2.31,False
12.09,10.53,4.36,-140.69,0.19,12.07,11.89,2.21,-3.37,-2.76,-8.55,-3.75,8.53,-0.56,37.12,77.95,96.41,2.2,False
4.16,-1.39,1.81,153.7,0.19,16.96,4.16,-0.1,-1.63,0.8,-2.62,15.31,2.53,0.69,14.38,0.0,74.82,1.72,False
3.07,37.25,-2.2,-25.89,0.19,18.57,2.45,1.86,1.98,-0.96,-4.51,11.12,4.42,0.87,11.77,0.02,58.92,1.97,False
5.85,35.86,-2.3,-71.27,0.19,15.82,4.74,3.42,0.74,-2.17,-5.64,12.93,5.49,1.26,42.7,29.53,110.08,2.27,False
4.32,20.32,-1.45,0.11,0.19,17.62,4.05,1.5,1.45,0.0,-5.7,15.01,5.5,1.48,14.35,12.53,48.98,1.81,False
7.39,-8.32,2.38,-100.74,0.19,3.88,7.31,-1.07,-0.44,-2.34,-7.69,-26.34,6.89,-3.41,68.28,45.81,113.33,2.32,False
12.17,10.31,4.37,-141.09,0.19,11.52,11.98,2.18,-3.4,-2.74,-8.61,-3.82,8.59,-0.57,37.0,44.39,100.8,2.23,False
4.45,10.28,1.73,179.1,0.19,15.23,4.38,0.79,-1.73,0.03,-2.77,17.01,2.64,0.81,64.59,20.0,136.02,2.23,False
4.52,-81.61,-2.93,29.66,0.19,2.4,0.66,-4.48,2.54,1.45,-4.4,-43.19,3.21,-3.01,57.01,169.46,128.34,2.24,False
8.63,69.63,-2.91,-66.34,0.19,13.39,3.0,8.09,1.17,-2.66,-6.84,52.48,4.16,5.42,28.09,4.31,87.49,2.31,False
8.7,-17.62,6.49,145.24,0.19,14.78,8.29,-2.63,-5.34,3.7,-3.11,19.51,2.94,1.04,44.98,0.28,113.1,2.44,False
7.81,47.68,2.65,-157.32,0.19,23.21,5.26,5.77,-2.45,-1.02,-5.51,59.29,2.81,4.73,77.22,31.53,145.81,2.47,False
8.65,-0.04,-2.43,-86.44,0.2,5.57,8.65,-0.01,0.15,-2.43,-9.14,-15.44,8.81,-2.43,57.53,64.89,127.06,2.48,False
9.34,-0.15,2.38,-98.55,0.19,3.83,9.34,-0.02,-0.35,-2.35,-9.31,-14.83,9.0,-2.38,64.42,35.59,108.97,2.34,False
4.55,-81.17,-2.93,29.81,0.19,7.36,0.7,-4.5,2.54,1.46,-4.44,-43.01,3.24,-3.03,54.96,207.37,130.76,2.25,False
4.0,-1.45,1.83,153.93,0.19,18.3,4.0,-0.1,-1.64,0.8,-2.45,16.39,2.35,0.69,14.38,0.0,74.82,1.72,False
8.65,0.1,-2.43,-87.01,0.2,6.0,8.65,0.01,0.13,-2.43,-9.11,-15.36,8.79,-2.41,53.84,52.93,119.33,2.38,False
8.19,23.94,-2.38,-75.95,0.19,11.99,7.48,3.32,0.58,-2.31,-8.14,7.18,8.08,1.02,45.64,17.32,97.81,2.21,False
7.82,13.96,-2.43,-87.8,0.2,9.28,7.59,1.89,0.09,-2.43,-7.71,-4.03,7.69,-0.54,49.69,10.9,90.6,2.17,False
9.85,34.86,-2.38,-77.55,0.19,15.51,8.09,5.63,0.51,-2.33,-9.23,21.02,8.62,3.31,40.92,22.25,99.59,2.22,False
2.54,-86.51,-2.06,-46.37,0.2,3.04,0.15,-2.54,1.42,-1.49,-4.32,-68.68,1.57,-4.03,62.97,24.92,134.1,2.54,False
9.75,-37.94,6.49,122.74,0.19,4.08,7.69,-5.99,-3.51,5.46,-4.18,-7.62,4.15,-0.55,59.52,13.31,131.09,2.55,False
13.22,31.24,2.99,-120.88,0.19,24.54,11.3,6.85,-1.53,-2.56,-10.68,23.69,9.78,4.29,97.2,19.83,155.83,2.55,False
6.92,24.3,1.82,153.73,0.19,17.83,6.31,2.85,-1.63,0.8,-5.95,37.99,4.69,3.66,15.25,0.0,60.06,1.8,False
8.1,-21.86,6.46,143.69,0.19,17.64,7.52,-3.02,-5.21,3.83,-2.42,18.83,2.29,0.78,16.99,0.0,64.8,1.53,False
11.6,19.91,2.71,-143.48,0.2,21.66,10.91,3.95,-2.18,-1.61,-9.04,15.09,8.72,2.35,82.66,7.41,149.05,2.57,False
